from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,max_i_ka,type,d_mm2,coords,coords_transformed
2859,55391,0.109999999403954,1.039999961853027,0.081000000238419,0.119999997317791,cs,35.0,"[[530610.7186000003, 154130.61690000072], [530611.6386000002, 154130.27679999918], [530616.1748000002, 154128.57939999923], [530616.2085999995, 154128.56680000015], [530615.7186000003, 154126.2067000009], [530612.5780999996, 154110.6467000004], [530612.0480000004, 154108.00659999996], [530611.1578000002, 154103.62659999914], [530609.8776000002, 154097.26659999974], [530608.0673000002, 154088.0865000002], [530607.7673000004, 154087.54649999924], [530607.7664000001, 154087.54240000062], [530604.7967999997, 154073.42650000006], [530603.4469999997, 154067.0625], [530603.1465999996, 154065.6464000009], [530603.0301999999, 154065.05179999955], [530601.9765999997, 154059.66950000077], [530601.9688999997, 154059.63020000048], [530601.9563999996, 154059.56640000083], [530603.9963999996, 154058.84630000032], [530614.3475000001, 154055.70289999992], [530626.1265000002, 154052.12590000033], [530624.6064999998, 154054.57599999942], [530624.3164999997, 154054.6559999995]]","[[21.489100061766038, 49.25577412716477], [21.48911202258953, 49.25577112064626], [21.489170998942285, 49.25575611222801], [21.489171438381046, 49.255756000826025], [21.489165280247512, 49.25573473888999], [21.48912584798375, 49.25559456540922], [21.489119193183818, 49.25557078201934], [21.489108013279548, 49.255531324083975], [21.489091940550058, 49.255474029717234], [21.489069228136376, 49.255391332515686], [21.489065382282135, 49.2553864568109], [21.489065370951792, 49.25538641987154], [21.489028035064173, 49.255259248653815], [21.48901106012623, 49.25520191425169], [21.48900728231507, 49.25518915635315], [21.489005822311043, 49.25518380005942], [21.488992607050506, 49.25513531506356], [21.488992510466865, 49.255134961039715], [21.488992353675336, 49.25513438631399], [21.489018872359253, 49.25512802591428], [21.48915338724442, 49.255100345054544], [21.489306457847988, 49.25506884571302], [21.489286539053452, 49.255090800914154], [21.48928277111593, 49.25509150386318]]"
2859,55387,0.109999999403954,0.532999992370606,0.078999996185303,0.175999999046326,cs,70.0,"[[530617.4486999996, 154130.01669999957], [530617.3687000005, 154129.69669999927], [530617.1185999997, 154128.34669999965], [530616.2485999996, 154128.56670000032], [530615.6085000001, 154125.4567000009], [530613.7281999998, 154116.05670000054], [530612.5580000002, 154110.26669999957], [530611.7379000001, 154106.13660000078], [530610.9677999998, 154102.34659999982], [530608.1272999998, 154088.0865000002], [530607.8573000003, 154087.53649999946], [530607.8504999997, 154087.50349999964], [530602.0964000002, 154059.77639999986], [530602.1046000002, 154059.61260000058], [530602.1063999999, 154059.5764000006], [530614.2501999997, 154055.84160000086], [530626.0065000001, 154052.22589999996], [530625.6665000003, 154052.79590000026], [530625.2965000002, 154053.3958999999], [530624.9464999996, 154053.9759999998], [530624.5965, 154054.56599999964], [530624.3164999997, 154054.6559999995]]","[[21.489187401360354, 49.25576911726745], [21.48918639049227, 49.25576623362946], [21.489183259471975, 49.25575407334634], [21.48917195718957, 49.25575600224434], [21.489163914907564, 49.255727984848384], [21.48914031275732, 49.25564330519288], [21.489125619035864, 49.25559114542923], [21.489115327437723, 49.25555393987812], [21.489105655934814, 49.25551979706329], [21.489070006331456, 49.25539133599336], [21.489066550410236, 49.255386372058645], [21.48906646497219, 49.2553860747674], [21.48899415190596, 49.25513628377503], [21.488994271947334, 49.255134810561074], [21.48899429831826, 49.25513448497827], [21.48915211369067, 49.25510158728348], [21.48930489311512, 49.25506973844921], [21.489300435763127, 49.25507484697471], [21.489295586809376, 49.25508022366846], [21.48929099891364, 49.25508542248274], [21.48928641019019, 49.25509071036597], [21.48928277111593, 49.25509150386318]]"
2859,55387,0.109999999403954,1.039999961853027,0.081000000238419,0.119999997317791,cs,35.0,"[[530624.3164999997, 154054.6559999995], [530624.5664999997, 154054.5360000003], [530625.7965000002, 154052.41589999944], [530614.0880000005, 154056.07279999927], [530603.2171, 154059.4682], [530602.4863999998, 154059.69639999978], [530608.0573000005, 154087.43649999984], [530608.0683000004, 154087.49159999937], [530616.2686000001, 154128.52669999935], [530617.1286000004, 154128.30670000054], [530617.3986999998, 154129.65670000017], [530617.4486999996, 154130.01669999957]]","[[21.48928277111593, 49.25509150386318], [21.48928602360038, 49.2550904387214], [21.489302153579715, 49.255071435690716], [21.489149990665865, 49.25510365796295], [21.48900871298073, 49.25513357590149], [21.48899921683592, 49.255135586632484], [21.489069152749327, 49.255385483962726], [21.489069290814413, 49.2553859803285], [21.489172219931312, 49.255755643528076], [21.489183392513603, 49.255753714050556], [21.48918678293402, 49.255765875492656], [21.489187401360354, 49.25576911726745]]"
55463,55476,0.086000002920628,0.247999995946884,0.07599999755621,0.272000014781952,cs,150.0,"[[530492.1047999999, 154052.19810000062], [530492.1447999999, 154052.39809999987], [530492.2248, 154053.21810000017], [530497.3349000001, 154052.13800000027], [530497.9448999995, 154052.9179999996], [530511.3168000001, 154111.71829999983], [530511.7269000001, 154113.5083000008], [530511.6769000003, 154114.12829999998], [530508.9269000003, 154116.6283999998], [530507.8669999996, 154117.97839999944], [530504.5269999998, 154121.43850000016]]","[[21.487568211812402, 49.255061717649326], [21.48756871384559, 49.25506351935066], [21.487569682715474, 49.255070901443126], [21.487636050394947, 49.25506148094904], [21.487643896640158, 49.25506853397097], [21.487812402799882, 49.25559833031566], [21.48781757184753, 49.25561445855912], [21.487816871416335, 49.25562003371951], [21.487780994570954, 49.255642367028386], [21.48776713460428, 49.255654451226974], [21.48772352499962, 49.255685387237314]]"
2859,55394,0.068000003695488,1.039999961853027,0.080999992787838,0.119999997317791,cs,35.0,"[[530624.3164999997, 154054.6559999995], [530624.5865000002, 154054.55599999987], [530624.7865000004, 154054.21600000001], [530625.1265000002, 154053.64599999972], [530625.5164999999, 154052.9958999995], [530625.9364999998, 154052.28590000048], [530625.8865, 154052.29590000026], [530624.3564999998, 154052.77600000054], [530622.4364999998, 154053.3660000004], [530620.5365000004, 154053.9360000007], [530618.1265000002, 154054.67610000074], [530616.0763999997, 154055.31609999947], [530614.2205999997, 154055.88379999995], [530611.3364000004, 154056.76620000042], [530608.3364000004, 154057.68630000018], [530602.1464, 154059.58640000038], [530602.1464, 154059.60720000044], [530602.1464, 154059.77639999986], [530602.7165000001, 154062.48640000075], [530603.4166000001, 154065.88639999926], [530604.3167000003, 154070.2263999991], [530605.2969000004, 154074.9464999996], [530607.6873000003, 154086.5164999999], [530607.8872999996, 154087.48650000058], [530607.8504999997, 154087.50349999964], [530607.7664000001, 154087.54240000062], [530607.7030999996, 154087.57169999927], [530607.0872999998, 154087.85649999976], [530605.7472999999, 154088.90660000034], [530604.4874, 154090.46660000086], [530604.1573999999, 154090.62659999914]]","[[21.48928277111593, 49.25509150386318], [21.489286281326923, 49.25509061981777], [21.489288903693353, 49.25508757246486], [21.489293361047455, 49.25508246393983], [21.4892984735828, 49.25507663766105], [21.489303980215062, 49.25507027420679], [21.489303330887743, 49.25507036127889], [21.489283446929687, 49.25507459204091], [21.489258495549716, 49.255079788960586], [21.489233805232587, 49.25508480709598], [21.489202486079677, 49.255091326043534], [21.48917584313033, 49.255096965250445], [21.489151726257603, 49.25510196523655], [21.489114244892804, 49.25510973693539], [21.48907525845842, 49.255117841092535], [21.48899481627687, 49.25513457726587], [21.488994814538643, 49.25513476440103], [21.488994800398846, 49.25513628667352], [21.489001968047177, 49.25516070127284], [21.48901076412419, 49.25519133125622], [21.489022075636004, 49.25523042990145], [21.48903439428971, 49.25527295290329], [21.489064430753395, 49.25537718538544], [21.489066943685604, 49.25538592395339], [21.48906646497219, 49.2553860747674], [21.489065370951792, 49.25538641987154], [21.4890645475078, 49.25538667981119], [21.489056536835292, 49.255389206430024], [21.48903906939732, 49.25539857638441], [21.48902259823447, 49.25541253848933], [21.48901830478941, 49.25541395886137]]"
2859,55392,0.061999998986721,0.321000009775162,0.079000003635883,0.232999995350838,cs,70.0,"[[530624.3164999997, 154054.6559999995], [530624.5765000004, 154054.5460000001], [530625.0164999999, 154053.81599999964], [530625.8865, 154052.34589999914], [530614.1956000002, 154055.91939999908], [530602.1664000005, 154059.59640000015], [530602.1679999996, 154059.6043999996], [530607.9473000001, 154087.5164999999], [530608.0683000004, 154087.49159999937], [530608.6272999998, 154087.3764999993], [530608.8373999996, 154088.81650000066]]","[[21.48928277111593, 49.25509150386318], [21.489286152463656, 49.25509052926959], [21.489291920166057, 49.25508398703699], [21.48930332671185, 49.25507081112301], [21.48915139903724, 49.25510228407677], [21.488995074838336, 49.255134668394085], [21.48899509492155, 49.25513474046189], [21.4890677193739, 49.25538619733753], [21.489069290814413, 49.2553859803285], [21.489076550615188, 49.255384977187504], [21.489079155274773, 49.255397944875156]]"
2865,55513,0.063000001013279,0.532999992370606,0.078999996185303,0.175999999046326,cs,70.0,"[[530446.8334999997, 154028.8286000006], [530447.1935, 154028.44859999977], [530449.9637000002, 154031.76860000007], [530452.5339000002, 154038.6185999997], [530452.7839000002, 154038.69859999977], [530453.3038999997, 154038.5686000008], [530455.5639000004, 154037.8286000006], [530457.8438999997, 154036.81849999912], [530461.2538999999, 154035.87849999964], [530467.4638999999, 154034.00840000063], [530469.4340000004, 154034.02830000035], [530471.4139999999, 154034.9082999993], [530474.6140999999, 154036.10830000043], [530476.8041000003, 154036.7882000003], [530477.5641000001, 154036.73819999956], [530483.4142000005, 154034.90809999965], [530487.8842000002, 154032.72800000012], [530489.1041000001, 154031.61800000072], [530489.7840999998, 154030.6280000005], [530490.0641000001, 154029.8378999997], [530490.6572000002, 154025.3844000008], [530490.6739999996, 154025.25789999962]]","[[21.486983011091674, 49.25484883188084], [21.486987712095072, 49.25484543401742], [21.487023362478926, 49.25487546487053], [21.48705612282798, 49.25493724306096], [21.487059358568956, 49.254937977358615], [21.487066113773498, 49.25493683802225], [21.48709548760725, 49.25493031183242], [21.487125143484434, 49.254921356741306], [21.487169449348464, 49.254913098064], [21.48725014863025, 49.25489663424507], [21.487275698760307, 49.25489692787531], [21.48730130517677, 49.25490496029242], [21.487342709227754, 49.25491594266366], [21.487371056096976, 49.25492218700231], [21.487380917339635, 49.25492178135451], [21.487456945388303, 49.25490565633552], [21.48751510310988, 49.25488630212384], [21.487531017989852, 49.25487638650666], [21.48753992041711, 49.254867519126414], [21.487543618173113, 49.25486042696848], [21.48755168377525, 49.254820393838834], [21.487551912268707, 49.25481925671002]]"
55434,55463,0.05799999833107,0.358000010251999,0.076999999582767,0.212999999523163,cs,95.0,"[[530534.1374000004, 154123.22800000012], [530534.3574999999, 154123.1679999996], [530539.8975, 154121.27789999917], [530536.9571000002, 154109.91789999977], [530520.8870000001, 154114.83819999918], [530518.9870999996, 154116.84820000082], [530507.2970000003, 154120.5384999998], [530504.5269999998, 154121.43850000016]]","[[21.488107421642717, 49.25570320729569], [21.488110281360324, 49.2557026802642], [21.488182293310075, 49.255685996948095], [21.488145107298696, 49.25558362165465], [21.487936266684464, 49.25562695568224], [21.487911456704246, 49.25564492904316], [21.487759527252244, 49.25567745101637], [21.48772352499962, 49.255685387237314]]"
55428,55434,0.054999999701977,0.357999980449676,0.076999999582767,0.212999999523163,cs,95.0,"[[530534.1374000004, 154123.22800000012], [530534.3574999999, 154123.1679999996], [530539.9574999996, 154121.50789999962], [530540.9379000003, 154134.47800000012], [530543.6281000003, 154141.47800000012], [530546.9085999997, 154156.43810000084], [530544.1286000004, 154157.62820000015], [530540.5586000001, 154158.45820000023], [530539.9286000002, 154158.1682999991], [530539.8786000004, 154157.94820000045]]","[[21.488107421642717, 49.25570320729569], [21.488110281360324, 49.2557026802642], [21.488183052257547, 49.25568806971431], [21.488194682420737, 49.25580481707439], [21.48822898848156, 49.25586795142573], [21.48827028466146, 49.25600273609961], [21.48823412828719, 49.25601328189466], [21.488187755688948, 49.256020542033326], [21.488179608814157, 49.25601789725857], [21.488178978734325, 49.2560159141422]]"
55561,55586,0.052999999374151,3.707245349884033,0.059679247438908,0.059000000357628,cs,6.0,"[[530397.0241999999, 154073.75980000012], [530397.0741999997, 154073.73980000056], [530398.4642000003, 154072.8797999993], [530396.3839999996, 154066.1997999996], [530395.4239999996, 154065.79979999922], [530383.1140000001, 154070.43999999948], [530377.2938999999, 154070.7901000008], [530367.5339000002, 154073.9902999997], [530366.6738999998, 154074.61030000076], [530366.4539000001, 154075.27040000074], [530367.7939999998, 154079.4003999997], [530368.7440999998, 154080.32039999962], [530369.5641000001, 154080.5304000005], [530369.6240999997, 154080.5002999995]]","[[21.48633322081628, 49.25525017183999], [21.48633387099032, 49.255249994816005], [21.48635197136337, 49.25524233849645], [21.486325552579927, 49.25518211813302], [21.486313135114173, 49.25517846343948], [21.486153086180533, 49.25521949329253], [21.4860775708068, 49.25522230380965], [21.485950715826494, 49.25525052653517], [21.48593950960847, 49.255256054448076], [21.485936600740956, 49.25526198045753], [21.485953634485142, 49.2552992157117], [21.485965879838478, 49.25530754824339], [21.4859764974968, 49.25530948540413], [21.485977278220624, 49.25530921809682]]"
