aclass_id,bus,smm,prikljucna_moc_odjem,prikljucna_moc_oddaja,x_y,lon_lat
PMO,41266,112041.0,14.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
PMO,41266,112043.0,14.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
PMO,41266,112050.0,14.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
PMO,41266,112051.0,24.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
PMO,41266,112054.0,24.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
PMO,41267,560.0,6.0,0.0,"(520393.0998999998, 152330.29810000025)","(21.356769076188634, 49.238908232711275)"
PMO,41267,561.0,14.0,0.0,"(520393.0998999998, 152330.29810000025)","(21.356769076188634, 49.238908232711275)"
PMO,41267,527.0,17.0,0.0,"(520393.0998999998, 152330.29810000025)","(21.356769076188634, 49.238908232711275)"
PMO,41267,559.0,11.0,0.0,"(520393.0998999998, 152330.29810000025)","(21.356769076188634, 49.238908232711275)"
PMO,41268,,,,"(520381.16050000023, 152358.0689000003)","(21.35661135281, 49.23915720713782)"
PMO,41781,83066.0,6.0,0.0,"(520352.20330000017, 152465.49129999988)","(21.356224596567415, 49.24012154030905)"
PMO,41781,88748.0,14.0,0.0,"(520352.20330000017, 152465.49129999988)","(21.356224596567415, 49.24012154030905)"
PMO,41781,83916.0,5.0,0.0,"(520352.20330000017, 152465.49129999988)","(21.356224596567415, 49.24012154030905)"
PMO,77878,91773.0,17.0,0.0,"(520330.9280000003, 152367.20439999923)","(21.355959087171207, 49.23923572926388)"
PMO,77878,82763.0,14.0,0.0,"(520330.9280000003, 152367.20439999923)","(21.355959087171207, 49.23923572926388)"
PMO,77878,496.0,14.0,0.0,"(520330.9280000003, 152367.20439999923)","(21.355959087171207, 49.23923572926388)"
PMO,77878,107518.0,28.0,0.0,"(520330.9280000003, 152367.20439999923)","(21.355959087171207, 49.23923572926388)"
PMO,77878,90103.0,17.0,0.0,"(520330.9280000003, 152367.20439999923)","(21.355959087171207, 49.23923572926388)"
PMO,77878,124368.0,14.0,0.0,"(520330.9280000003, 152367.20439999923)","(21.355959087171207, 49.23923572926388)"
PMO,77878,124369.0,14.0,0.0,"(520330.9280000003, 152367.20439999923)","(21.355959087171207, 49.23923572926388)"
PMO,77878,124370.0,14.0,0.0,"(520330.9280000003, 152367.20439999923)","(21.355959087171207, 49.23923572926388)"
PMO,77878,124371.0,14.0,0.0,"(520330.9280000003, 152367.20439999923)","(21.355959087171207, 49.23923572926388)"
